Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,Segment Length,T123 Integration,T123 Node Count,T123 Total Depth
0,530661.691978,184270.562683,530670.301217,184204.951786,2.0012004,0,3,66.173325,89.123123,178,355.50821
1,530670.301217,184204.951786,530681.022227,184123.247113,1.7398858,0,4,82.40506,89.569191,178,353.7377
2,530681.022227,184123.247113,530712.688736,183881.917068,2.0232198,0,4,243.39876,88.535225,178,357.86887
3,530712.688736,183881.917068,530730.767941,183744.135682,1.2413905,0,3,138.96246,84.969841,178,372.88525
4,530661.691978,184270.562683,530782.093572,184320.087685,1.9381289,1,3,130.18936,89.643967,178,353.44263
5,530782.093572,184320.087685,530931.972172,184381.737517,2.1624684,1,4,162.06264,90.466393,178,350.22952
6,530931.972172,184381.737517,531102.93655,184452.060599,1.7826266,1,4,184.86253,93.848885,178,337.60657
7,531102.93655,184452.060599,531275.708412,184523.127156,2.0335331,1,4,186.81696,95.161201,178,332.95081
8,531275.708412,184523.127156,531340.829339,184549.913463,2.0149293,1,3,70.41478,95.208076,178,332.7869
9,530782.093572,184320.087685,530796.661501,184257.206605,4,2,5,64.546532,68.058456,178,465.54099
10,530796.661501,184257.206605,530808.682633,184205.318529,2.6528366,2,5,53.262371,66.904045,178,473.57376
11,530808.682633,184205.318529,530811.051613,184195.093051,3.3471634,2,4,10.496307,66.517212,178,476.32788
12,530670.301217,184204.951786,530796.661501,184257.206605,4,3,5,136.73875,80.604057,178,393.08197
13,530796.661501,184257.206605,530930.06091,184312.372373,4,3,6,144.35603,81.077438,178,390.7869
14,530930.06091,184312.372373,531122.455508,184391.934911,4,3,5,208.19673,83.120766,178,381.18033
15,530804.698203,184201.43184,530811.051613,184195.093051,3.6441982,4,4,8.9747467,55.208065,178,573.90161
16,530811.051613,184195.093051,530855.397836,184150.848882,0.91864121,4,3,62.642906,61.305717,178,516.8197
17,530755.425648,184153.367996,530804.698203,184201.43184,1.5875411,5,3,68.832535,57.89719,178,547.24591
18,530804.698203,184201.43184,530808.682633,184205.318529,3.0086384,5,4,5.5661507,57.88332,178,547.37708
19,530755.425648,184153.367996,530759.810269,184121.949841,2.5961795,6,4,31.722631,68.183304,178,464.68854
20,530759.810269,184121.949841,530781.008068,183970.056291,2.8942552,6,4,153.36557,64.886993,178,488.29507
21,530681.022227,184123.247113,530759.810269,184121.949841,4,7,5,78.798721,95.245613,178,332.65573
22,530759.810269,184121.949841,530852.420354,184120.424984,4,7,6,92.622635,95.058235,178,333.31146
23,530852.420354,184120.424984,530924.739254,184119.234229,4,7,6,72.328705,95.048882,178,333.34427
24,530924.739254,184119.234229,531002.805399,184117.948843,3.0542002,7,5,78.076729,95.179947,178,332.88525
25,531002.805399,184117.948843,531040.97912,184117.3203,1.086924,7,4,38.178894,95.348991,178,332.29507
26,531040.97912,184117.3203,531060.782857,184116.994225,3.8588758,7,4,19.806421,70.832077,178,447.31146
27,530837.552389,183968.504198,530852.420354,184120.424984,2.9553642,8,4,152.64659,67.521103,178,469.24591
28,530852.420354,184120.424984,530855.397836,184150.848882,2.5628395,8,4,30.569248,66.171051,178,478.81967
29,530781.008068,183970.056291,530817.267644,183969.060997,1.9056505,9,3,36.273235,60.243252,178,525.93445
30,530817.267644,183969.060997,530837.552389,183968.504198,1.9439689,9,3,20.292385,60.617363,178,522.68854
31,530804.10279,183678.914813,530806.987301,183742.48786,2.9565058,10,4,63.638454,77.364662,178,409.54099
32,530806.987301,183742.48786,530810.256885,183814.547701,2.0050292,10,4,72.13398,77.339897,178,409.67212
33,530810.256885,183814.547701,530813.405101,183883.932657,3.038465,10,5,69.456345,77.315147,178,409.80328
34,530813.405101,183883.932657,530817.267644,183969.060997,4,10,5,85.215919,75.467552,178,419.83606
35,530806.987301,183742.48786,530914.42656,183744.957076,4,11,4,107.46763,63.280861,178,500.68854
36,530912.244928,183665.779416,530912.566958,183677.466796,3.2855186,12,4,11.691815,91.554901,178,346.06558
37,530912.566958,183677.466796,530914.42656,183744.957076,1.7466468,12,4,67.515892,93.5672,178,338.62296
38,530914.42656,183744.957076,530916.388132,183816.148133,1.9949708,12,4,71.218079,93.58532,178,338.55737
39,530916.388132,183816.148133,530918.31369,183886.032144,2.9728639,12,5,69.910538,93.603447,178,338.49179
40,530918.31369,183886.032144,530922.424921,184035.240495,3.021472,12,5,149.26498,93.152306,178,340.13113
41,530922.424921,184035.240495,530924.739254,184119.234229,2.9785283,12,5,84.025612,93.170265,178,340.06558
42,530924.739254,184119.234229,530930.06091,184312.372373,4,12,6,193.21144,93.152306,178,340.13113
43,530930.06091,184312.372373,530931.972172,184381.737517,4,12,5,69.391472,94.48201,178,335.34427
44,530997.74097,184191.579226,531069.101814,184204.96794,1.8460462,13,3,72.605972,78.604362,178,403.08197
45,531069.101814,184204.96794,531176.603948,184225.137479,3.079603,13,5,109.37788,78.381218,178,404.22952
46,531176.603948,184225.137479,531408.976546,184268.735201,4,13,5,236.42712,78.585182,178,403.18033
47,530997.74097,184191.579226,531002.805399,184117.948843,2.9256492,14,3,73.804344,66.01284,178,479.96722
48,531065.907547,184257.768052,531065.977455,184256.612488,3.118978,15,4,1.1576769,54.894455,178,577.1803
49,531065.977455,184256.612488,531069.101814,184204.96794,2.881022,15,4,51.738968,57.252327,178,553.40985
50,531014.260003,184282.658893,531065.907547,184257.768052,0.67563176,16,2,57.332561,65.685287,178,482.36066
51,531065.907547,184257.768052,531067.505019,184256.998171,3.3243682,16,4,1.773312,65.052979,178,487.04919
52,531065.977455,184256.612488,531067.505019,184256.998171,3.5566537,17,4,1.5755012,76.519279,178,414.06558
53,531067.505019,184256.998171,531158.779512,184280.043406,2.4433463,17,5,94.138809,76.945778,178,411.77048
54,531158.779512,184280.043406,531391.966563,184338.919115,4,17,5,240.50478,76.823433,178,412.42624
55,531102.93655,184452.060599,531122.455508,184391.934911,2.9502037,18,4,63.214619,104.35875,178,303.60657
56,531122.455508,184391.934911,531139.683702,184338.865635,2.043396,18,4,55.795689,103.58688,178,305.86887
57,531139.683702,184338.865635,531158.779512,184280.043406,3.0064003,18,5,61.844196,103.57578,178,305.90164
58,531158.779512,184280.043406,531176.603948,184225.137479,4,18,6,57.726696,103.74257,178,305.40985
59,531176.603948,184225.137479,531200.805668,184150.587138,4,18,6,78.380333,103.74257,178,305.40985
60,531200.805668,184150.587138,531224.447434,184077.761662,2.3847485,18,5,76.566856,104.53938,178,303.08197
61,531224.447434,184077.761662,531226.686905,184070.863256,3.6152513,18,4,7.2528086,81.145523,178,390.45901
62,531222.022192,184069.648122,531226.686905,184070.863256,3.0376058,19,4,4.8203835,88.123474,178,359.54099
63,531226.686905,184070.863256,531282.101437,184085.298468,2.0014875,19,4,57.263824,89.213623,178,355.14755
64,531282.101437,184085.298468,531360.813158,184105.802482,2.0467546,19,4,81.338486,89.337341,178,354.65573
65,531360.813158,184105.802482,531427.917161,184123.282742,2.9141521,19,5,69.343399,89.461395,178,354.16394
66,531427.917161,184123.282742,531443.26017,184127.27952,2.9891434,19,4,15.855036,93.386353,178,339.27869
67,531168.490957,183890.561739,531168.634422,183891.041697,4,20,5,0.50094116,95.897789,178,330.39343
68,531168.634422,183891.041697,531177.606206,183921.056404,3.7623262,20,5,31.326914,97.395889,178,325.31146
69,531177.606206,183921.056404,531183.34523,183940.256055,1.3914185,20,4,20.039038,110.34049,178,287.14755
70,531183.34523,183940.256055,531206.527247,184017.810468,1.9921591,20,4,80.945,110.45399,178,286.85245
71,531206.527247,184017.810468,531222.022192,184069.648122,1.5069535,20,4,54.103935,110.93583,178,285.60657
72,531222.022192,184069.648122,531224.447434,184077.761662,3.3471429,20,4,8.468255,105.0051,178,301.7377
73,531103.958023,183944.145791,531183.34523,183940.256055,2,21,2,79.482445,68.376282,178,463.37704
74,531275.708412,184523.127156,531297.510832,184441.573404,2,22,2,84.41777,61.228031,178,517.4754
75,531340.829339,184549.913463,531374.160466,184412.387824,2.0549963,23,3,141.50713,108.84907,178,291.08197
76,531374.160466,184412.387824,531391.966563,184338.919115,2.0359912,23,4,75.595688,108.81229,178,291.18033
77,531391.966563,184338.919115,531408.976546,184268.735201,2.0393751,23,4,72.215797,108.7266,178,291.40985
78,531408.976546,184268.735201,531426.238998,184197.509594,2.9666958,23,5,73.287651,109.02098,178,290.62296
79,531426.238998,184197.509594,531433.414157,184167.904584,4,23,6,30.462101,109.29224,178,289.90164
80,531433.414157,184167.904584,531443.26017,184127.27952,2.9891434,23,4,41.801193,81.999321,178,386.39343
81,531040.97912,184117.3203,531060.553704,184121.39462,3.0975204,24,4,19.99411,95.179947,178,332.88525
82,531060.553704,184121.39462,531140.793407,184138.095983,1.8206327,24,4,81.959412,95.414886,178,332.06558
83,531140.793407,184138.095983,531200.805668,184150.587138,3.081847,24,5,61.298454,95.32077,178,332.39343
84,531200.805668,184150.587138,531426.238998,184197.509594,4,24,6,230.26486,94.741371,178,334.42624
85,531426.238998,184197.509594,531437.346019,184199.821447,3.2086754,24,4,11.345068,94.759956,178,334.36066
86,531379.770132,183732.449503,531382.423865,183753.991164,4,25,5,21.704504,97.239082,178,325.83606
87,531382.423865,183753.991164,531401.51399,183908.955152,4,25,6,156.13542,98.92128,178,320.29507
88,531401.51399,183908.955152,531402.048405,183913.293264,3.1397986,25,5,4.3709054,105.08504,178,301.50821
89,531402.048405,183913.293264,531417.15255,184035.901078,1.8853738,25,4,123.53465,109.77644,178,288.62296
90,531417.15255,184035.901078,531427.917161,184123.282742,2.9748278,25,5,88.042221,109.81387,178,288.5246
91,531427.917161,184123.282742,531433.414157,184167.904584,4,25,6,44.959156,114.2542,178,277.31146
92,531433.414157,184167.904584,531437.346019,184199.821447,3.2086754,25,4,32.158134,101.89393,178,310.95081
93,531375.100124,183572.394391,531387.345888,183728.427727,1.5234891,26,3,156.51314,105.45199,178,300.45901
94,531387.345888,183728.427727,531389.575254,183756.833909,2.5515666,26,4,28.49353,102.23889,178,309.90164
95,531389.575254,183756.833909,531401.51399,183908.955152,2.7092693,26,5,152.589,104.86837,178,302.13113
96,531401.51399,183908.955152,531401.85296,183913.274241,4,26,5,4.3323708,76.652809,178,413.34427
97,531297.758244,183720.335774,531303.086878,183722.453957,3.2741685,27,4,5.734199,80.489922,178,393.63934
98,531303.086878,183722.453957,531357.702997,183744.164384,2.7258315,27,5,58.77298,81.846535,178,387.11475
99,531357.702997,183744.164384,531382.423865,183753.991164,4,27,6,26.602385,83.335808,178,380.19672
100,531382.423865,183753.991164,531389.575254,183756.833909,4,27,5,7.6956849,83.335808,178,380.19672
101,531299.446867,183775.091082,531311.820019,183768.52249,3.3356996,28,4,14.008615,71.009041,178,446.19672
102,531311.820019,183768.52249,531357.702997,183744.164384,2.6643004,28,5,51.947716,75.715897,178,418.45901
103,531357.702997,183744.164384,531379.770132,183732.449503,3.2326641,28,5,24.983932,76.507164,178,414.13113
104,531379.770132,183732.449503,531387.345888,183728.427727,2.7673359,28,4,8.5771065,83.185158,178,380.88525
105,531304.31269,183959.573805,531306.49671,183903.993471,4,29,5,55.623226,74.964081,178,422.65573
106,531306.49671,183903.993471,531311.29242,183781.949157,2.6909027,29,5,122.1385,74.175774,178,427.14755
107,531311.29242,183781.949157,531311.820019,183768.52249,3.3090973,29,4,13.437029,72.993576,178,434.06558
108,531075.434914,183881.504842,531156.88079,183889.431752,2.9276934,30,4,81.830719,90.086884,178,351.70493
109,531156.88079,183889.431752,531168.490957,183890.561739,2.7533221,30,5,11.665026,90.806427,178,348.91803
